hotel_name,url,locality,reviews,tripadvisor_rating,price_per_night,booking_provider,no_of_deals,hotel_features
Royal Lancaster London,http://www.tripadvisor.com/Hotel_Review-g186338-d195284-Reviews-Royal_Lancaster_London-London_England.html,"London, England, United Kingdom",546 ,4.5,$222,Booking.com,18,"Free Wifi,Restaurant"
Travelodge London Waterloo Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d1812157-Reviews-Travelodge_London_Waterloo_Hotel-London_England.html,"London, England, United Kingdom",696 ,4.5,$84,Travelodge,12,"Restaurant,Bar/Lounge"
The Belgrave,http://www.tripadvisor.com/Hotel_Review-g186338-d295184-Reviews-The_Belgrave-London_England.html,"London, England, United Kingdom",1635 ,4.5,$120,Booking.com,14,"Free Wifi,Bar/Lounge"
Alhambra Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d210066-Reviews-Alhambra_Hotel-London_England.html,"London, England, United Kingdom",2239 ,4.0,$70,Booking.com,16,"Free Wifi,Breakfast included"
Travelodge London Vauxhall Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d4191654-Reviews-Travelodge_London_Vauxhall_Hotel-London_England.html,"London, England, United Kingdom",1897 ,4.0,$53,Agoda.com,14,"Restaurant,Bar/Lounge"
Rhodes Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d214653-Reviews-Rhodes_Hotel-London_England.html,"London, England, United Kingdom",1624 ,4.0,$96,Booking.com,11,Free Wifi
The Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d1371050-Reviews-The_Kensington-London_England.html,"London, England, United Kingdom",3507 ,4.5,$253,Kensington Hotel,19,"Free Wifi,Restaurant,Visit hotel website"
InterContinental London - The O2,http://www.tripadvisor.com/Hotel_Review-g186338-d8147345-Reviews-InterContinental_London_The_O2-London_England.html,"London, England, United Kingdom",4400 ,4.5,$262,Booking.com,13,"Pool,Restaurant,Visit hotel website"
Z at Gloucester Place,http://www.tripadvisor.com/Hotel_Review-g186338-d214331-Reviews-Z_at_Gloucester_Place-London_England.html,"London, England, United Kingdom",379 ,4.5,$97,Booking.com,7,Free Wifi
Assembly Hotel London,http://www.tripadvisor.com/Hotel_Review-g186338-d14078928-Reviews-Assembly_Hotel_London-London_England.html,"London, England, United Kingdom",232 ,4.5,$139,Orbitz.com,8,"Free Wifi,Visit hotel website"
"Point A Hotel, London Westminster",http://www.tripadvisor.com/Hotel_Review-g186338-d1867292-Reviews-Point_A_Hotel_London_Westminster-London_England.html,"London, England, United Kingdom",3132 ,4.0,$92,Expedia.com,16,Free Wifi
The Grand at Trafalgar Square,http://www.tripadvisor.com/Hotel_Review-g186338-d677369-Reviews-The_Grand_at_Trafalgar_Square-London_England.html,"London, England, United Kingdom",1865 ,4.0,$191,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
The Ampersand Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d2554997-Reviews-The_Ampersand_Hotel-London_England.html,"London, England, United Kingdom",4069 ,4.5,$254,Expedia.com,14,"Free Wifi,Restaurant,Visit hotel website"
The Hari,http://www.tripadvisor.com/Hotel_Review-g186338-d2413342-Reviews-The_Hari-London_England.html,"London, England, United Kingdom",1298 ,5.0,$322,Expedia.com,15,"Free Wifi,Restaurant,Visit hotel website"
Marlin Waterloo,http://www.tripadvisor.com/Hotel_Review-g186338-d12475989-Reviews-Marlin_Waterloo-London_England.html,"London, England, United Kingdom",644 ,4.5,$148,Expedia.com,11,"Free Wifi,Bar/Lounge"
Travelodge London Finchley,http://www.tripadvisor.com/Hotel_Review-g186338-d10548259-Reviews-Travelodge_London_Finchley-London_England.html,"London, England, United Kingdom",316 ,4.0,$48,Travelodge,0,"Restaurant,Bar/Lounge"
"Radisson Blu Edwardian London, Bloomsbury Street",http://www.tripadvisor.com/Hotel_Review-g186338-d188029-Reviews-Radisson_Blu_Edwardian_London_Bloomsbury_Street-London_England.html,"London, England, United Kingdom",3456 ,4.0,$159,Agoda.com,20,"Free Wifi,Restaurant"
"The Langham, London",http://www.tripadvisor.com/Hotel_Review-g186338-d187569-Reviews-The_Langham_London-London_England.html,"London, England, United Kingdom",1205 ,5.0,$458,Expedia.com,19,"Free Wifi,Restaurant,Visit hotel website"
Hotel London Kensington Managed by Melia,http://www.tripadvisor.com/Hotel_Review-g186338-d199140-Reviews-Hotel_London_Kensington_Managed_by_Melia-London_England.html,"London, England, United Kingdom",1443 ,4.0,$159,Melia.com,15,"Free Wifi,Restaurant,Visit hotel website"
Grand Royale London Hyde Park,http://www.tripadvisor.com/Hotel_Review-g186338-d218403-Reviews-Grand_Royale_London_Hyde_Park-London_England.html,"London, England, United Kingdom",4862 ,4.0,$101,Booking.com,18,"Free Wifi,Restaurant,Visit hotel website"
Travelodge London Clapham Junction Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d3572110-Reviews-Travelodge_London_Clapham_Junction_Hotel-London_England.html,"London, England, United Kingdom",593 ,4.0,$53,Travelodge,0,
Z Hotel Tottenham Court Road,http://www.tripadvisor.com/Hotel_Review-g186338-d13474415-Reviews-Z_Hotel_Tottenham_Court_Road-London_England.html,"London, England, United Kingdom",96 ,4.5,$86,Booking.com,0,Free Wifi
Roseate House London,http://www.tripadvisor.com/Hotel_Review-g186338-d193165-Reviews-Roseate_House_London-London_England.html,"London, England, United Kingdom",1857 ,4.5,$185,Booking.com,16,"Free Wifi,Room service,Visit hotel website"
Travelodge London Farringdon,http://www.tripadvisor.com/Hotel_Review-g186338-d193095-Reviews-Travelodge_London_Farringdon-London_England.html,"London, England, United Kingdom",863 ,4.0,$53,Travelodge,14,"Restaurant,Bar/Lounge"
The Montague on The Gardens,http://www.tripadvisor.com/Hotel_Review-g186338-d192036-Reviews-The_Montague_on_The_Gardens-London_England.html,"London, England, United Kingdom",4815 ,5.0,$228,Montague Hotel,13,"Free Wifi,Restaurant,Visit hotel website"
K West Hotel & Spa,http://www.tripadvisor.com/Hotel_Review-g186338-d192086-Reviews-K_West_Hotel_Spa-London_England.html,"London, England, United Kingdom",3678 ,4.0,$115,Expedia.com,16,"Free Wifi,Restaurant"
Novotel London Blackfriars,http://www.tripadvisor.com/Hotel_Review-g186338-d3530264-Reviews-Novotel_London_Blackfriars-London_England.html,"London, England, United Kingdom",2961 ,4.5,$154,Booking.com,12,"Free Wifi,Pool,Visit hotel website"
St Martins Lane London Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d193107-Reviews-St_Martins_Lane_London_Hotel-London_England.html,"London, England, United Kingdom",3157 ,4.5,$209,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
Dorsett City London,http://www.tripadvisor.com/Hotel_Review-g186338-d12437245-Reviews-Dorsett_City_London-London_England.html,"London, England, United Kingdom",468 ,4.5,$130,Booking.com,16,"Free Wifi,Restaurant"
Amba Hotel Marble Arch,http://www.tripadvisor.com/Hotel_Review-g186338-d193084-Reviews-Amba_Hotel_Marble_Arch-London_England.html,"London, England, United Kingdom",2549 ,4.5,$188,Expedia.com,17,"Free Wifi,Restaurant,Visit hotel website"
Radisson Blu Edwardian Hampshire Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d192033-Reviews-Radisson_Blu_Edwardian_Hampshire_Hotel-London_England.html,"London, England, United Kingdom",3508 ,4.5,$194,Expedia.com,19,"Free Wifi,Restaurant"
Kimpton Fitzroy London,http://www.tripadvisor.com/Hotel_Review-g186338-d193051-Reviews-Kimpton_Fitzroy_London-London_England.html,"London, England, United Kingdom",550 ,4.5,$247,Booking.com,13,"Free Wifi,Room service,Visit hotel website"
Wilde Aparthotels by Staycity - The Strand,http://www.tripadvisor.com/Hotel_Review-g186338-d12934662-Reviews-Wilde_Aparthotels_by_Staycity_The_Strand-London_England.html,"London, England, United Kingdom",466 ,4.5,$203,Official Site,10,"Free Wifi,Visit hotel website"
Town Hall Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d1575211-Reviews-Town_Hall_Hotel-London_England.html,"London, England, United Kingdom",1508 ,4.5,$134,Agoda.com,15,"Free Wifi,Pool"
St. Pancras Renaissance Hotel London,http://www.tripadvisor.com/Hotel_Review-g186338-d1866705-Reviews-St_Pancras_Renaissance_Hotel_London-London_England.html,"London, England, United Kingdom",4002 ,4.5,$261,Expedia.com,15,"Pool,Restaurant,Visit hotel website"
Qbic Hotel London City,http://www.tripadvisor.com/Hotel_Review-g186338-d4945399-Reviews-Qbic_Hotel_London_City-London_England.html,"London, England, United Kingdom",4364 ,4.5,$96,Booking.com,14,"Free Wifi,Restaurant,Visit hotel website"
YHA London Central,http://www.tripadvisor.com/Hotel_Review-g186338-d1066363-Reviews-YHA_London_Central-London_England.html,"London, England, United Kingdom",1473 ,4.0,$107,Booking.com,11,"Restaurant,Bar/Lounge"
Travelodge London Whetstone,http://www.tripadvisor.com/Hotel_Review-g186338-d2028066-Reviews-Travelodge_London_Whetstone-London_England.html,"London, England, United Kingdom",503 ,4.0,$48,Travelodge,0,"Free parking,Restaurant"
Novotel London Canary Wharf,http://www.tripadvisor.com/Hotel_Review-g186338-d11621939-Reviews-Novotel_London_Canary_Wharf-London_England.html,"London, England, United Kingdom",1088 ,4.5,$160,Expedia.com,16,"Free Wifi,Pool,Visit hotel website"
Park Plaza Victoria London,http://www.tripadvisor.com/Hotel_Review-g186338-d224653-Reviews-Park_Plaza_Victoria_London-London_England.html,"London, England, United Kingdom",5207 ,4.0,$174,Booking.com,18,"Free Wifi,Restaurant,Visit hotel website"
Point A Hotel - London Paddington,http://www.tripadvisor.com/Hotel_Review-g186338-d3226266-Reviews-Point_A_Hotel_London_Paddington-London_England.html,"London, England, United Kingdom",3242 ,4.0,$77,Booking.com,16,"Free Wifi,Visit hotel website"
Phoenix Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d192081-Reviews-Phoenix_Hotel-London_England.html,"London, England, United Kingdom",1995 ,4.0,$92,Booking.com,16,"Free Wifi,Breakfast included,Visit hotel website"
The Chilworth London Paddington,http://www.tripadvisor.com/Hotel_Review-g186338-d735547-Reviews-The_Chilworth_London_Paddington-London_England.html,"London, England, United Kingdom",259 ,4.5,$127,Expedia.com,13,"Free Wifi,Restaurant,Visit hotel website"
Travelodge London Cricklewood,http://www.tripadvisor.com/Hotel_Review-g186338-d2394659-Reviews-Travelodge_London_Cricklewood-London_England.html,"London, England, United Kingdom",558 ,4.0,$75,Travelodge,0,"Restaurant,Bar/Lounge"
The Z Hotel Shoreditch,http://www.tripadvisor.com/Hotel_Review-g186338-d7796230-Reviews-The_Z_Hotel_Shoreditch-London_England.html,"London, England, United Kingdom",766 ,4.0,$70,Booking.com,6,"Free Wifi,Bar/Lounge"
The Rubens at the Palace,http://www.tripadvisor.com/Hotel_Review-g186338-d199868-Reviews-The_Rubens_at_the_Palace-London_England.html,"London, England, United Kingdom",4939 ,4.5,$307,Rubens Hotel,15,"Free Wifi,Restaurant,Visit hotel website"
"The Hoxton, Shoreditch",http://www.tripadvisor.com/Hotel_Review-g186338-d621785-Reviews-The_Hoxton_Shoreditch-London_England.html,"London, England, United Kingdom",5330 ,4.5,$150,Expedia.com,13,"Free Wifi,Breakfast included"
Luna & Simone Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d254575-Reviews-Luna_Simone_Hotel-London_England.html,"London, England, United Kingdom",2255 ,4.5,$161,Booking.com,13,"Free Wifi,Breakfast included"
H10 London Waterloo,http://www.tripadvisor.com/Hotel_Review-g186338-d1719249-Reviews-H10_London_Waterloo-London_England.html,"London, England, United Kingdom",3755 ,4.5,$149,Booking.com,18,"Free Wifi,Restaurant,Visit hotel website"
Ibis London Shepherds Bush - Hammersmith Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d3523343-Reviews-Ibis_London_Shepherds_Bush_Hammersmith_Hotel-London_England.html,"London, England, United Kingdom",2244 ,4.5,$91,Expedia.com,13,"Free Wifi,Restaurant,Visit hotel website"
Arbor City Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d192029-Reviews-Arbor_City_Hotel-London_England.html,"London, England, United Kingdom",944 ,4.5,$115,Booking.com,15,"Free Wifi,Restaurant"
The Waldorf Hilton London,http://www.tripadvisor.com/Hotel_Review-g186338-d193045-Reviews-The_Waldorf_Hilton_London-London_England.html,"London, England, United Kingdom",5154 ,4.0,$204,Hilton,18,"Free Wifi,Pool,Visit hotel website"
Dorsett Shepherds Bush London,http://www.tripadvisor.com/Hotel_Review-g186338-d5823268-Reviews-Dorsett_Shepherds_Bush_London-London_England.html,"London, England, United Kingdom",1989 ,4.0,$115,Orbitz.com,18,"Free Wifi,Restaurant"
CitizenM London Bankside,http://www.tripadvisor.com/Hotel_Review-g186338-d3199601-Reviews-CitizenM_London_Bankside-London_England.html,"London, England, United Kingdom",4207 ,4.5,$118,Booking.com,12,"Free Wifi,Bar/Lounge,Visit hotel website"
The Bloomsbury,http://www.tripadvisor.com/Hotel_Review-g186338-d209229-Reviews-The_Bloomsbury-London_England.html,"London, England, United Kingdom",3987 ,4.5,$274,Bloomsbury Hotel,17,"Free Wifi,Restaurant,Visit hotel website"
Hilton London Bankside,http://www.tripadvisor.com/Hotel_Review-g186338-d8505156-Reviews-Hilton_London_Bankside-London_England.html,"London, England, United Kingdom",2499 ,4.5,$182,Expedia.com,16,"Free Wifi,Pool,Visit hotel website"
The W14 Kensington,http://www.tripadvisor.com/Hotel_Review-g186338-d577546-Reviews-The_W14_Kensington-London_England.html,"London, England, United Kingdom",1755 ,4.0,$84,Booking.com,17,"Free Wifi,Breakfast included"
Clayton Hotel City of London,http://www.tripadvisor.com/Hotel_Review-g186338-d15243736-Reviews-Clayton_Hotel_City_of_London-London_England.html,"London, England, United Kingdom",68 ,4.5,$112,Booking.com,9,"Free Wifi,Restaurant"
Georgian House,http://www.tripadvisor.com/Hotel_Review-g186338-d275575-Reviews-Georgian_House-London_England.html,"London, England, United Kingdom",745 ,4.0,$141,Booking.com,12,Free Internet
